date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:15:06	354242/354242	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2014:15:33%20GMT	https://camerasaigon24h.com/	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/index.html	(from )
21:15:06	230/230	---M-Z	200	added ('OK')	text/plain	etag:%22e622c86809fdb1:0%22	https://camerasaigon24h.com/robots.txt		(from )
21:15:07	50190/50190	---M--	200	added ('OK')	image/jpeg	etag:%22c5f819867423db1:0%22	https://camerasaigon24h.com/images/lap-camera-quan-sat-gia-re-an-thanh-phat.jpg	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/images/lap-camera-quan-sat-gia-re-an-thanh-phat.jpg	(from https://camerasaigon24h.com/)
21:15:07	8759/8759	---M-Z	200	added ('OK')	text/css	etag:%22ff26c0a9abaedb1:0%22	https://camerasaigon24h.com/assets/slide/styles.css	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/assets/slide/styles.css	(from https://camerasaigon24h.com/)
21:15:07	732/732	---M-Z	200	added ('OK')	text/css	etag:%2241b7fa9abaedb1:0%22	https://camerasaigon24h.com/assets/css/index24h.css	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/assets/css/index24h.css	(from https://camerasaigon24h.com/)
21:15:07	4086/4086	---M--	200	added ('OK')	image/x-icon	etag:%22f6d95aadabaedb1:0%22	https://camerasaigon24h.com/camerasaigon24h/images/camera-an-thanh-phat.ico	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/camerasaigon24h/images/camera-an-thanh-phat.ico	(from https://camerasaigon24h.com/)
21:15:08	93792/93792	---M--	200	added ('OK')	font/x-woff	etag:%223c719b4abaedb1:0%22	https://camerasaigon24h.com/fonts/Roboto/Roboto-Regular.woff	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/fonts/Roboto/Roboto-Regular.woff	(from https://camerasaigon24h.com/)
21:15:08	109389/109389	---MCZ	200	added ('OK')	text/css	etag:%22e2384adc7bfdb1:0%22	https://camerasaigon24h.com/assets/css/style.css	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/assets/css/style.css	(from https://camerasaigon24h.com/)
21:15:09	85664/85664	---MCZ	200	added ('OK')	application/x-javascript	etag:%223783a0e67cfbda1:0%22	https://camerasaigon24h.com/js/jquery.js	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/js/jquery.js	(from https://camerasaigon24h.com/)
21:15:09	40394/40394	---M-Z	200	added ('OK')	application/x-javascript	etag:%225396a3a9abaedb1:0%22	https://camerasaigon24h.com/assets/lib/owl.carousel/owl.carousel.min.js	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/assets/lib/owl.carousel/owl.carousel.min.js	(from https://camerasaigon24h.com/)
